ndb_id,description,water (g),energy (kcal),protein (g),total fat (g),ash (g),carbohydrate (g),dietary fiber (g),sugar (g),calcium (mg),iron (mg),magnesium (mg),phosphorus (mg),potassium (mg),sodium (mg),zinc (mg),copper (mg),manganese (mg),selenium (μg),vitamin c (mg),thiamin (mg),riboflavin (mg),niacin (mg),pantothenic acid (mg),vitamin b6 (mg),total folate (μg),folic acid (μg),food folate (μg),dietary folate (μg),choline (mg),vitamin b12 (μg),vitamin a (iu),vitamin a (μg),retinol (μg),alpha-carotene (μg),beta-carotene (μg),beta-cryptoxanthin (μg),lycopene (μg),lutein + zeazanthin (μg),vitamin e (mg),vitamin d (μg),vitamin d (iu),vitamin k (μg),saturated fatty acid (g),monounsaturated fatty acids (g),polyunsaturated fatty acids (g),cholesterol (mg)
11250,"LETTUCE,BUTTERHEAD (INCL BOSTON&BIBB TYPES),RAW",95.63,13,1.35,0.22,0.57,2.23,1.1,0.94,35,1.24,13,33,238,5,0.20,0.016,0.179,0.6,3.7,0.057,0.062,0.357,0.150,0.082,73,0,73,73,8.4,0.00,3312,166,0,0,1987,0,0,1223,0.18,0.0,0,102.3,0.029,0.008,0.117,0
11251,"LETTUCE,COS OR ROMAINE,RAW",94.61,17,1.23,0.30,0.58,3.29,2.1,1.19,33,0.97,14,30,247,8,0.23,0.048,0.155,0.4,4.0,0.072,0.067,0.313,0.142,0.074,136,0,136,136,9.9,0.00,8710,436,0,0,5226,0,0,2312,0.13,0.0,0,102.5,0.039,0.012,0.160,0
11253,"LETTUCE,GRN LEAF,RAW",94.98,15,1.36,0.15,0.62,2.87,1.3,0.78,36,0.86,13,29,194,28,0.18,0.029,0.250,0.6,9.2,0.070,0.080,0.375,0.134,0.090,38,0,38,38,13.6,0.00,7405,370,0,0,4443,0,0,1730,0.22,0.0,0,126.3,0.020,0.006,0.082,0
11254,"LOTUS ROOT,RAW",79.10,74,2.60,0.10,0.97,17.23,4.9,,45,1.16,23,100,556,40,0.39,0.257,0.261,0.7,44.0,0.160,0.220,0.400,0.377,0.258,13,0,13,13,,0.00,0,0,0,0,0,0,0,0,,0.0,0,,0.030,0.020,0.020,0
11255,"LOTUS ROOT,CKD,BLD,DRND,WO/SALT",81.42,66,1.58,0.07,0.91,16.02,3.1,0.50,26,0.90,22,78,363,45,0.33,0.217,0.220,0.6,27.4,0.127,0.010,0.300,0.302,0.218,8,0,8,8,25.4,0.00,0,0,0,0,0,0,0,0,0.01,0.0,0,0.1,0.021,0.014,0.014,0
11257,"LETTUCE,RED LEAF,RAW",95.64,16,1.33,0.22,0.55,2.26,0.9,0.48,33,1.20,12,28,187,25,0.20,0.028,0.203,1.5,3.7,0.064,0.077,0.321,0.144,0.100,36,0,36,36,11.8,0.00,7492,375,0,0,4495,0,0,1724,0.15,0.0,0,140.3,0.017,0.005,0.072,0
11258,"MOUNTAIN YAM,HAWAII,RAW",81.44,67,1.34,0.10,0.82,16.30,2.5,0.31,26,0.44,12,34,418,13,0.27,0.110,0.242,0.7,2.6,0.102,0.019,0.481,0.433,0.179,14,0,14,14,,0.00,0,,0,,,,,,0.21,0.0,0,1.4,0.022,0.004,0.045,0
11259,"MOUNTAIN YAM,HAWAII,CKD,STMD,WO/SALT",77.14,82,1.73,0.08,1.06,20.00,,,8,0.43,10,40,495,12,0.32,0.129,0.283,0.9,0.0,0.086,0.014,0.130,0.480,0.209,12,0,12,12,,0.00,0,0,0,,,,,,,0.0,0,,0.018,0.003,0.036,0
11260,"MUSHROOMS,WHITE,RAW",92.45,22,3.09,0.34,0.85,3.26,1.0,1.98,3,0.50,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0,17,17,17.3,0.04,0,0,0,0,0,0,0,0,0.01,0.2,7,0.0,0.050,0.000,0.160,0
11261,"MUSHROOMS,WHITE,CKD,BLD,DRND,WO/ SALT",91.08,28,2.17,0.47,0.99,5.29,2.2,2.34,6,1.74,12,87,356,2,0.87,0.504,0.115,11.9,4.0,0.073,0.300,4.460,2.160,0.095,18,0,18,18,20.4,0.00,0,0,0,0,0,0,0,0,0.01,0.2,8,0.0,0.061,0.008,0.183,0
11263,"MUSHROOMS,WHITE,STIR-FRIED",91.10,26,3.58,0.33,0.94,4.04,1.8,0.00,4,0.25,11,105,396,12,0.57,0.291,0.047,13.9,0.0,0.096,0.463,3.987,1.450,0.042,20,0,20,20,21.9,0.00,0,0,0,0,0,0,0,0,0.00,0.2,8,0.0,0.040,0.000,0.160,0
11265,"MUSHROOMS,PORTABELLA,RAW",92.82,22,2.11,0.35,0.85,3.87,1.3,2.50,3,0.31,,108,364,9,0.53,0.286,0.069,18.6,0.0,0.059,0.130,4.494,1.140,0.148,28,0,28,28,21.2,0.05,0,0,0,0,0,0,0,0,0.02,0.3,10,0.0,0.060,0.020,0.117,0
11266,"MUSHROOMS,BROWN,ITALIAN,OR CRIMINI,RAW",92.12,22,2.50,0.10,0.98,4.30,0.6,1.72,18,0.40,9,120,448,6,1.10,0.500,0.142,26.0,0.0,0.095,0.490,3.800,1.500,0.110,25,0,25,25,22.1,0.10,0,0,0,0,0,0,0,0,0.01,0.1,3,0.0,0.014,0.002,0.042,0
11267,"MUSHROOMS,SHIITAKE,STIR-FRIED",87.74,39,3.45,0.35,0.78,7.68,3.6,0.30,2,0.53,19,111,326,5,0.96,0.163,0.223,6.3,0.0,0.099,0.274,3.870,1.360,0.174,14,0,14,14,59.4,0.00,0,0,0,0,0,0,0,0,0.00,0.5,21,0.0,0.030,0.000,0.140,0
11268,"MUSHROOMS,SHIITAKE,DRIED",9.50,296,9.58,0.99,4.56,75.37,11.5,2.21,11,1.72,132,294,1534,13,7.66,5.165,1.176,46.1,3.5,0.300,1.270,14.100,21.879,0.965,163,0,163,163,201.7,0.00,0,0,0,0,0,0,0,0,0.00,3.9,154,0.0,0.225,0.317,0.151,0
11269,"MUSHROOMS,SHIITAKE,CKD,WO/SALT",83.48,56,1.56,0.22,0.35,14.39,2.1,3.84,3,0.44,14,29,117,4,1.33,0.896,0.204,24.8,0.3,0.037,0.170,1.500,3.594,0.159,21,0,21,21,36.8,0.00,0,0,0,0,0,0,0,0,0.00,0.7,28,0.0,0.050,0.070,0.034,0
